word,corpus_freq,cooc_with_core,p_w,p_w_given_core,pmi,lift
強い,20607,9524,0.06386915609774241,0.13769771274903855,0.7682242405298683,2.1559344316106563
仄か,7938,3654,0.024602967977089298,0.05282942486192638,0.7642012394000475,2.147278527985812
口当たり,20582,9455,0.06379167131575358,0.1367001127721713,0.7621669305016271,2.1429147403199127
バランス,22744,10435,0.07049255526214651,0.15086892403782204,0.7609043019855715,2.1402107424929238
殆ど,3028,1389,0.009384956794485562,0.020082121273458056,0.7607218640021104,2.139820322375694
後半,3160,1444,0.009794076443386519,0.020877309660816006,0.7568851486769198,2.1316261703178228
軽め,3171,1449,0.009828169747461599,0.020949599514212186,0.7568668035874412,2.131587065803682
甘酸っぱい,5765,2629,0.01786799072662129,0.03801000491571003,0.7548385278318278,2.1272680010449863
爽快,1969,896,0.006102701429439258,0.012954341728594974,0.752699470140911,2.122722515327982
バナナ,5068,2303,0.01570771500477306,0.03329670647427927,0.7513064941847617,2.1197676723929284
当て,6292,2856,0.01950136993094556,0.04129196425989648,0.7501831950864127,2.117387876139549
生酛,6797,3072,0.021066562527119675,0.04441488592661134,0.7458876127260307,2.10831196923725
爽やか,18571,8326,0.057558795452573114,0.12037706387531447,0.7378220603669738,2.0913756608145473
程度,2350,1051,0.0072835695069488355,0.015195327183876471,0.7353668995438525,2.0862472952828255
マスカット,4767,2130,0.014774798229627701,0.030795477546771536,0.7344449393037512,2.084324744619374
複雑,3183,1422,0.00986536244281623,0.020559234305872826,0.7342803188861995,2.0839816504505286
光栄,2191,974,0.006790766293499956,0.014082063441575341,0.7293380998521748,2.0737075659715356
軽快,3128,1386,0.009694895922440832,0.02003874736142035,0.7260682138897531,2.06693785283827
少ない,4950,2156,0.015341986833785844,0.03117138478443166,0.7089072122712579,2.0317697519976097
発酵,2106,912,0.006527318034737977,0.013185669259462742,0.7031344331855166,2.020074583357121
ワイン,6028,2610,0.01868313063314365,0.03773530347280456,0.7029750763754592,2.0197526963635624
比較,2448,1056,0.007587309852345,0.01526761703727265,0.6992569564390962,2.0122569572605378
軽やか,4437,1910,0.013751999107375311,0.027614723997339732,0.6971649054668722,2.0080516135672033
フルーツ,3872,1663,0.01200084303442804,0.024043605239568572,0.694892166601566,2.003493018831447
最後,9868,4234,0.030584793146626002,0.06121504785588295,0.6938901098506693,2.0014864106620895
特徴,6014,2565,0.01863973915522991,0.03708469479223896,0.6879085298615019,1.989550094204714
とろみ,1954,833,0.006056210560245968,0.01204348957580314,0.6874399453692207,1.9886180402740166
単体,3300,1403,0.010227991222523896,0.020284532862967355,0.6847304684529956,1.9832372184967393
濃い,8019,3405,0.02485401867073307,0.04922939016279675,0.6834713495816902,1.9807416585216855
膨よか,3994,1694,0.012378968770533468,0.024491802330624875,0.6823394970413453,1.9785010193195123
若い,2319,980,0.007187488377282701,0.014168811265650753,0.6787013702141921,1.9713160595060897
軽い,12891,5428,0.0399542529847138,0.0784778648468901,0.6750814843167612,1.9641930203754565
感想,3892,1635,0.012062830860019092,0.023638782060549982,0.6727597758305642,1.9596380265015643
小町,1917,805,0.005941533082902518,0.011638666396784547,0.672365670178025,1.9588658742431682
円やか,10590,4436,0.03282255365046305,0.0641355579330885,0.6698830456799115,1.9540087775036268
クラシック,2585,1079,0.008011926457643719,0.015600150362895065,0.6663493141207112,1.9471160207682456
温度,6580,2743,0.020393994619456738,0.03965821357314287,0.6650576024233464,1.9446025319290439
滑らか,4940,2046,0.015310992920990318,0.029581008009715755,0.6585614721347097,1.9320110826491357
スペック,4330,1789,0.013420364240463173,0.025865309545152242,0.6561293983172897,1.927317998357067
